seed,entity,dimension,gold_degree,gold_base,pred_degree,pred_base,conf_degree,conf_base,conf_dim,gold_prob_degree,gold_prob_base,gold_prob_dim,correct,pred_is_p_token
42,claw,Z,nul,magn,nul,luc,0.976451,0.776264,0.870623,0.976451,0.207994,0.450661,0,0
42,claw,A,nul,son,nul,magn,0.998302,0.934211,0.965725,0.998302,0.035618,0.188567,0,0
42,claw,W,nul,pond,nul,son,0.789241,0.986553,0.882399,0.789241,0.003454,0.052215,0,0
42,claw,R,max,tact,max,pond,0.952145,0.978314,0.96514,0.952145,0.020379,0.139297,0,0
42,claw,O,max,pel,nul,tact,0.931715,0.756454,0.839523,0.022092,0.239732,0.072775,0,0
42,claw,S,nul,vel,nul,pel,0.990146,0.981613,0.98587,0.990146,0.010061,0.099807,0,0
42,claw,F,nul,od,nul,vel,0.999554,0.867894,0.9314,0.999554,0.110625,0.332528,0,0
42,claw,L,nul,vit,nul,vit,0.998971,0.934851,0.966379,0.998971,0.934851,0.966379,1,0
42,claw,An,nul,anim,nul,vit,0.952098,0.954475,0.953286,0.952098,0.045122,0.20727,0,0
42,cave,T,min,therm,min,therm,0.766631,0.991791,0.871974,0.766631,0.991791,0.871974,1,0
42,cave,H,max,dur,med,therm,0.994659,0.996912,0.995785,0.00134,0.002024,0.001646,0,0
42,cave,M,med,hydr,nul,dur,0.996627,0.910239,0.952454,0.001361,0.079849,0.010427,0,0
42,cave,V,nul,luc,mag,hydr,0.991418,0.938158,0.964421,0.000154,0.025051,0.001964,0,0
42,cave,Z,mag,magn,min,luc,0.901351,0.990998,0.945112,0.071971,0.005518,0.019928,0,0
42,cave,A,min,son,max,magn,0.972497,0.859838,0.914434,0.006377,0.084253,0.02318,0,0
42,cave,W,max,pond,mag,son,0.70555,0.99487,0.837813,0.228886,0.001801,0.020302,0,0
42,cave,R,mag,tact,max,pond,0.98938,0.985398,0.987387,0.007052,0.013573,0.009784,0,0
42,cave,O,max,pel,max,tact,0.477262,0.959672,0.676768,0.477262,0.037041,0.132959,0,0
42,cave,S,nul,vel,min,pel,0.782776,0.993975,0.882077,0.024846,0.003913,0.009859,0,0
42,cave,F,min,od,nul,vel,0.969812,0.931211,0.950315,0.007106,0.059692,0.020595,0,0
42,cave,L,nul,vit,nul,vit,0.993196,0.779271,0.879755,0.993196,0.779271,0.879755,1,0
42,cave,An,nul,anim,nul,vit,0.829274,0.988458,0.905374,0.829274,0.011118,0.096018,0,0
42,honey,T,med,therm,nul,therm,0.447803,0.978421,0.661922,0.069412,0.978421,0.260603,0,0
42,honey,H,nul,dur,nul,therm,0.990249,0.915424,0.952102,0.990249,0.048747,0.219709,0,0
42,honey,M,mag,hydr,mag,hydr,0.963679,0.767888,0.860231,0.963679,0.767888,0.860231,1,0
42,honey,V,mag,luc,nul,hydr,0.861754,0.973349,0.915853,0.042818,0.008308,0.01886,0,0
42,honey,Z,nul,magn,nul,luc,0.809964,0.791738,0.800799,0.809964,0.20394,0.406429,0,0
42,honey,A,nul,son,min,magn,0.985343,0.959032,0.972098,0.012133,0.036024,0.020906,0,0
42,honey,W,min,pond,min,son,0.881082,0.976547,0.927587,0.881082,0.019753,0.131923,0,0
42,honey,R,min,tact,nul,pond,0.834598,0.974953,0.90205,0.148156,0.021101,0.055913,0,0
42,honey,O,min,pel,min,tact,0.492935,0.542087,0.516927,0.492935,0.454717,0.47344,0,0
42,honey,S,min,vel,mag,pel,0.999096,0.502914,0.708844,5.6e-05,0.064097,0.001895,0,0
42,honey,F,mag,od,nul,vel,0.94193,0.620869,0.764732,0.035375,0.337218,0.109221,0,0
42,honey,L,nul,vit,nul,od,0.997445,0.559257,0.746879,0.997445,0.414612,0.643081,0,0
42,honey,An,nul,anim,nul,vit,0.996702,0.829769,0.909413,0.996702,0.163018,0.403089,0,0
137,bird,T,med,therm,med,therm,0.532181,0.85689,0.675293,0.532181,0.85689,0.675293,1,0
137,bird,H,min,dur,nul,therm,0.836923,0.984126,0.907545,0.157867,0.014442,0.047748,0,0
137,bird,M,nul,hydr,mag,dur,0.944699,0.672692,0.797177,0.011674,0.310103,0.060168,0,0
137,bird,V,mag,luc,min,hydr,0.995532,0.978703,0.987082,0.000637,0.004576,0.001707,0,0
137,bird,Z,min,magn,max,luc,0.846221,0.686629,0.76226,0.144216,0.282138,0.201715,0,0
137,bird,A,max,son,nul,magn,0.979174,0.894288,0.935769,0.000461,0.09793,0.006716,0,0
137,bird,W,nul,pond,min,son,0.977482,0.996671,0.98703,0.019227,4.4e-05,0.000921,0,0
137,bird,R,min,tact,max,pond,0.82047,0.92519,0.871258,0.145594,0.051107,0.08626,0,0
137,bird,O,max,pel,max,tact,0.998825,0.993519,0.996168,0.998825,0.003438,0.058601,0,0
137,bird,S,max,vel,max,pel,0.989892,0.656149,0.805926,0.989892,0.261219,0.508506,0,0
137,bird,F,nul,od,min,vel,0.96859,0.908669,0.938151,0.024208,0.084239,0.045158,0,0
137,bird,L,max,vit,min,od,0.978128,0.659347,0.803073,0.010486,0.286341,0.054797,0,0
137,bird,An,max,anim,max,vit,0.921553,0.894213,0.90778,0.921553,0.103072,0.308199,0,0
137,shell,T,min,therm,min,therm,0.913292,0.995042,0.953292,0.913292,0.995042,0.953292,1,0
137,shell,H,max,dur,nul,therm,0.984775,0.928766,0.956361,0.00231,0.068063,0.01254,0,0
137,shell,M,nul,hydr,med,dur,0.926525,0.838812,0.881578,0.037425,0.159932,0.077366,0,0
137,shell,V,med,luc,nul,hydr,0.994227,0.840593,0.914188,0.000317,0.039501,0.003538,0,0
137,shell,Z,nul,magn,min,luc,0.997323,0.954288,0.975568,0.002285,0.043684,0.009991,0,0
137,shell,A,min,son,min,magn,0.99493,0.980117,0.987496,0.99493,0.014051,0.118236,0,0
137,shell,W,min,pond,mag,son,0.830527,0.9195,0.873882,0.029244,0.07199,0.045884,0,0
137,shell,R,mag,tact,max,pond,0.580946,0.989536,0.7582,0.287333,0.005023,0.037989,0,0
137,shell,O,max,pel,nul,tact,0.767306,0.570658,0.661717,0.211497,0.406663,0.293271,0,0
137,shell,S,nul,vel,nul,pel,0.998675,0.647149,0.803923,0.998675,0.271259,0.52048,0,0
137,shell,F,nul,od,nul,od,0.999413,0.65887,0.81147,0.999413,0.65887,0.81147,1,0
137,shell,L,nul,vit,nul,od,0.999734,0.722926,0.850138,0.999734,0.263224,0.512985,0,0
137,shell,An,nul,anim,nul,vit,0.998249,0.952454,0.975083,0.998249,0.044271,0.210221,0,0
137,claw,T,min,therm,min,therm,0.893395,0.94689,0.919754,0.893395,0.94689,0.919754,1,0
137,claw,H,max,dur,nul,therm,0.974648,0.719829,0.837604,0.006749,0.268665,0.042581,0,0
137,claw,M,nul,hydr,min,dur,0.990935,0.860553,0.923446,0.00661,0.135461,0.029924,0,0
137,claw,V,min,luc,nul,luc,0.990658,0.629564,0.789736,0.008095,0.629564,0.071387,0,0
137,claw,Z,nul,magn,nul,luc,0.999367,0.792408,0.889891,0.999367,0.20417,0.451708,0,0
137,claw,A,nul,son,nul,magn,0.999529,0.759735,0.871423,0.999529,0.237101,0.486816,0,0
137,claw,W,nul,pond,nul,son,0.975881,0.996456,0.986115,0.975881,0.002383,0.048223,0,0
137,claw,R,max,tact,max,pond,0.936263,0.990624,0.96306,0.936263,0.002066,0.043985,0,0
137,claw,O,max,pel,max,tact,0.717236,0.693926,0.705485,0.717236,0.275791,0.444755,0,0
137,claw,S,nul,vel,nul,pel,0.999126,0.584378,0.764112,0.999126,0.355776,0.596209,0,0
137,claw,F,nul,od,nul,od,0.999315,0.768914,0.876577,0.999315,0.768914,0.876577,1,0
137,claw,L,nul,vit,nul,vit,0.999813,0.562581,0.749984,0.999813,0.562581,0.749984,1,0
137,claw,An,nul,anim,nul,vit,0.99782,0.76368,0.872935,0.99782,0.232098,0.48124,0,0
137,cave,T,min,therm,min,therm,0.95176,0.966305,0.959005,0.95176,0.966305,0.959005,1,0
137,cave,H,max,dur,med,therm,0.994991,0.975694,0.985295,0.000441,0.023021,0.003186,0,0
137,cave,M,med,hydr,nul,dur,0.998939,0.959224,0.97888,8.6e-05,0.039092,0.00183,0,0
137,cave,V,nul,luc,mag,hydr,0.973703,0.993051,0.98333,0.001067,0.004775,0.002257,0,0
137,cave,Z,mag,magn,min,luc,0.998916,0.824762,0.907672,0.000672,0.174075,0.010813,0,0
137,cave,A,min,son,max,magn,0.998006,0.973217,0.985534,0.000541,0.023839,0.00359,0,0
137,cave,W,max,pond,mag,son,0.666411,0.993715,0.813771,0.241831,0.004034,0.031234,0,0
137,cave,R,mag,tact,max,pond,0.865525,0.99128,0.926271,0.076314,0.002038,0.01247,0,0
137,cave,O,max,pel,max,tact,0.898071,0.938036,0.917836,0.898071,0.054399,0.22103,0,0
137,cave,S,nul,vel,min,pel,0.870308,0.947921,0.908286,0.055612,0.016549,0.030337,0,0
137,cave,F,min,od,nul,vel,0.941468,0.98371,0.962358,0.0515,0.015457,0.028214,0,0
137,cave,L,nul,vit,nul,vit,0.999665,0.608951,0.780223,0.999665,0.608951,0.780223,1,0
137,cave,An,nul,anim,nul,vit,0.997193,0.993166,0.995177,0.997193,0.006076,0.07784,0,0
137,honey,T,med,therm,med,therm,0.516513,0.990119,0.715129,0.516513,0.990119,0.715129,1,0
137,honey,H,nul,dur,mag,therm,0.82993,0.977182,0.900551,0.03408,0.020357,0.026339,0,0
137,honey,M,mag,hydr,mag,dur,0.999776,0.702131,0.837839,0.999776,0.269331,0.518913,0,0
137,honey,V,mag,luc,nul,od,0.981568,0.514485,0.710635,0.016488,0.224777,0.060877,0,0
137,honey,Z,nul,magn,nul,magn,0.997369,0.873501,0.933383,0.997369,0.873501,0.933383,1,0
137,honey,A,nul,son,min,magn,0.972665,0.862865,0.916122,0.026444,0.13246,0.059184,0,0
137,honey,W,min,pond,min,son,0.97399,0.951986,0.962925,0.97399,0.003236,0.056143,0,0
137,honey,R,min,tact,min,pond,0.99784,0.983959,0.990875,0.99784,0.011084,0.105166,0,0
137,honey,O,min,pel,min,pel,0.959752,0.838797,0.897239,0.959752,0.838797,0.897239,1,0
137,honey,S,min,vel,mag,pel,0.996598,0.53506,0.730232,0.000753,0.441319,0.018229,0,0
137,honey,F,mag,od,nul,vel,0.996625,0.816047,0.901828,0.001836,0.181733,0.018268,0,0
137,honey,L,nul,vit,nul,vit,0.997555,0.494415,0.702286,0.997555,0.494415,0.702286,1,0
137,honey,An,nul,anim,nul,vit,0.998891,0.869753,0.932088,0.998891,0.124429,0.352549,0,0
271,bird,T,med,therm,min,therm,0.475744,0.992533,0.687162,0.434991,0.992533,0.657071,0,0
271,bird,H,min,dur,min,therm,0.940331,0.94691,0.943615,0.940331,0.048062,0.21259,0,0
271,bird,M,nul,hydr,mag,hydr,0.976929,0.504501,0.702041,0.000269,0.504501,0.011651,0,0
271,bird,V,mag,luc,min,min,0.866775,0.542149,0.685508,0.024416,0.001779,0.006591,0,0
271,bird,Z,min,magn,max,luc,0.999008,0.778378,0.88182,0.000393,0.044058,0.004162,0,0
271,bird,A,max,son,max,magn,0.835587,0.679161,0.753325,0.835587,0.016887,0.118788,0,0
271,bird,W,nul,pond,min,pond,0.976237,0.884678,0.929331,0.004761,0.884678,0.0649,0,0
271,bird,R,min,tact,min,pond,0.889593,0.95671,0.922541,0.889593,0.004992,0.066643,0,0
271,bird,O,max,pel,max,pel,0.990346,0.547745,0.736517,0.990346,0.547745,0.736517,1,0
271,bird,S,max,vel,max,pel,0.988843,0.858386,0.921308,0.988843,0.039756,0.198274,0,0
271,bird,F,nul,od,min,vel,0.987966,0.895921,0.940818,0.001296,0.09183,0.01091,0,0
271,bird,L,max,vit,max,pel,0.831951,0.457629,0.617029,0.831951,0.341661,0.533146,0,0
271,bird,An,max,anim,max,vit,0.995701,0.986306,0.990992,0.995701,0.00217,0.046485,0,0
271,shell,T,min,therm,min,therm,0.988445,0.660744,0.808152,0.988445,0.660744,0.808152,1,0
271,shell,H,max,dur,max,therm,0.911196,0.968594,0.939457,0.911196,0.019368,0.132847,0,0
271,shell,M,nul,hydr,med,dur,0.968896,0.905718,0.936775,0.00564,0.08441,0.021819,0,0
271,shell,V,med,luc,nul,hydr,0.85752,0.993995,0.923239,0.019026,0.001768,0.005799,0,0
271,shell,Z,nul,magn,min,magn,0.999387,0.570237,0.754909,0.000238,0.570237,0.011656,0,0
271,shell,A,min,son,min,magn,0.824598,0.864411,0.84427,0.824598,0.038659,0.178544,0,0
271,shell,W,min,pond,nul,son,0.628554,0.854819,0.733008,0.129745,0.096892,0.112122,0,0
271,shell,R,mag,tact,max,magn,0.893386,0.837368,0.864924,0.000852,0.056661,0.006946,0,0
271,shell,O,max,pel,nul,pel,0.901105,0.745775,0.819769,0.009802,0.745775,0.085497,0,0
271,shell,S,nul,vel,nul,pel,0.990898,0.918133,0.953822,0.990898,0.079301,0.280321,0,0
271,shell,F,nul,od,nul,od,0.989893,0.600078,0.770722,0.989893,0.600078,0.770722,1,0
271,shell,L,nul,vit,nul,pel,0.996668,0.610091,0.779781,0.996668,0.366599,0.604464,0,0
271,shell,An,nul,anim,nul,vit,0.857429,0.932046,0.893959,0.857429,0.048747,0.204443,0,0
271,claw,T,min,therm,min,therm,0.990755,0.793339,0.886569,0.990755,0.793339,0.886569,1,0
271,claw,H,max,dur,max,therm,0.904929,0.966232,0.935078,0.904929,0.004551,0.064175,0,0
271,claw,M,nul,hydr,min,dur,0.941675,0.85461,0.897087,0.047359,0.093539,0.066558,0,0
271,claw,V,min,luc,nul,hydr,0.965322,0.990191,0.977677,0.016329,0.000788,0.003587,0,0
271,claw,Z,nul,magn,nul,magn,0.997654,0.926552,0.961446,0.997654,0.926552,0.961446,1,0
271,claw,A,nul,son,nul,magn,0.996576,0.958504,0.977355,0.996576,0.003724,0.06092,0,0
271,claw,W,nul,pond,nul,pond,0.743648,0.845183,0.792792,0.743648,0.845183,0.792792,1,0
271,claw,R,max,tact,max,pond,0.683256,0.973666,0.815636,0.683256,0.007409,0.071149,0,0
271,claw,O,max,pel,nul,pel,0.934354,0.932383,0.933368,0.012188,0.932383,0.106603,0,0
271,claw,S,nul,vel,nul,pel,0.997115,0.913382,0.954331,0.997115,0.084191,0.289738,0,0
271,claw,F,nul,od,nul,od,0.993044,0.762949,0.870426,0.993044,0.762949,0.870426,1,0
271,claw,L,nul,vit,nul,vit,0.991476,0.647686,0.801352,0.991476,0.647686,0.801352,1,0
271,claw,An,nul,anim,nul,vit,0.711338,0.982298,0.83591,0.711338,0.009865,0.083768,0,0
271,cave,T,min,therm,min,therm,0.999104,0.882667,0.939082,0.999104,0.882667,0.939082,1,0
271,cave,H,max,dur,max,dur,0.865522,0.474567,0.640896,0.865522,0.474567,0.640896,1,0
271,cave,M,med,hydr,nul,dur,0.996906,0.959891,0.978223,0.000942,0.016607,0.003956,0,0
271,cave,V,nul,luc,mag,hydr,0.98313,0.984626,0.983878,0.001328,0.002175,0.0017,0,0
271,cave,Z,mag,magn,min,luc,0.995538,0.666828,0.814772,0.001008,0.140037,0.011879,0,0
271,cave,A,min,son,max,magn,0.822659,0.6403,0.725775,0.141446,0.124747,0.132835,0,0
271,cave,W,max,pond,mag,son,0.918091,0.944215,0.931061,0.005909,0.04765,0.016779,0,0
271,cave,R,mag,tact,max,pond,0.73355,0.878639,0.802823,0.001331,0.036748,0.006994,0,0
271,cave,O,max,pel,min,tact,0.513638,0.889377,0.675883,0.132601,0.104852,0.117913,0,0
271,cave,S,nul,vel,min,pel,0.984409,0.981492,0.982949,0.013248,0.012875,0.01306,0,0
271,cave,F,min,od,nul,od,0.654978,0.568835,0.610389,0.321209,0.568835,0.427452,0,0
271,cave,L,nul,vit,nul,vit,0.997136,0.881143,0.937347,0.997136,0.881143,0.937347,1,0
271,cave,An,nul,anim,nul,vit,0.574941,0.98308,0.751807,0.574941,0.00974,0.074834,0,0
271,honey,T,med,therm,med,therm,0.782785,0.934328,0.855207,0.782785,0.934328,0.855207,1,0
271,honey,H,nul,dur,nul,therm,0.89642,0.961836,0.928552,0.89642,0.031765,0.168744,0,0
271,honey,M,mag,hydr,mag,dur,0.998085,0.514771,0.716788,0.998085,0.036742,0.191498,0,0
271,honey,V,mag,luc,nul,hydr,0.905429,0.992126,0.947787,0.08257,0.000907,0.008656,0,0
271,honey,Z,nul,magn,nul,luc,0.983571,0.933018,0.957961,0.983571,0.051892,0.225918,0,0
271,honey,A,nul,son,nul,magn,0.894723,0.996417,0.944202,0.894723,0.000106,0.009734,0,0
271,honey,W,min,pond,min,son,0.670882,0.70531,0.687881,0.670882,0.204337,0.370251,0,0
271,honey,R,min,tact,min,nul,0.90871,0.559721,0.713179,0.90871,0.007428,0.082156,0,0
271,honey,O,min,pel,min,tact,0.916583,0.85894,0.887294,0.916583,0.095785,0.296303,0,0
271,honey,S,min,vel,mag,pel,0.99029,0.96368,0.976894,0.002535,0.032167,0.00903,0,0
271,honey,F,mag,od,nul,vel,0.967909,0.986197,0.97701,0.002317,0.011781,0.005225,0,0
271,honey,L,nul,vit,nul,pel,0.998361,0.70759,0.840494,0.998361,0.121843,0.348775,0,0
271,honey,An,nul,anim,nul,vit,0.437447,0.533367,0.483032,0.437447,0.035227,0.124137,0,0
314,bird,T,med,therm,min,therm,0.722882,0.998015,0.84938,0.251772,0.998015,0.501271,0,0
314,bird,H,min,dur,min,therm,0.835184,0.688099,0.758083,0.835184,0.203236,0.411995,0,0
314,bird,M,nul,hydr,max,dur,0.594306,0.771878,0.677297,0.110665,0.218638,0.155549,0,0
314,bird,V,mag,luc,max,hydr,0.746795,0.922053,0.82981,0.068407,0.044751,0.055329,0,0
314,bird,Z,min,magn,max,luc,0.996179,0.864343,0.927923,0.002195,0.113311,0.015772,0,0
314,bird,A,max,son,max,son,0.620497,0.740436,0.677819,0.620497,0.740436,0.677819,1,0
314,bird,W,nul,pond,min,pond,0.670747,0.952844,0.799448,0.031319,0.952844,0.172749,0,0
314,bird,R,min,tact,max,pond,0.978104,0.673116,0.811405,0.018886,0.280989,0.072847,0,0
314,bird,O,max,pel,max,max,0.986516,0.584161,0.759134,0.986516,0.038471,0.194813,0,0
314,bird,S,max,vel,max,vel,0.998982,0.503098,0.708933,0.998982,0.503098,0.708933,1,0
314,bird,F,nul,od,min,vel,0.866147,0.807822,0.836476,0.03128,0.072569,0.047644,0,0
314,bird,L,max,vit,min,vit,0.430408,0.977641,0.648679,0.386836,0.977641,0.614969,0,0
314,bird,An,max,anim,max,anim,0.958344,0.529557,0.712389,0.958344,0.529557,0.712389,1,0
314,shell,T,min,therm,min,therm,0.991349,0.98818,0.989764,0.991349,0.98818,0.989764,1,0
314,shell,H,max,dur,nul,dur,0.51489,0.889852,0.676887,0.389248,0.889852,0.588535,0,0
314,shell,M,nul,hydr,med,hydr,0.726498,0.565004,0.640683,0.218781,0.565004,0.351585,0,0
314,shell,V,med,luc,nul,hydr,0.862568,0.804991,0.833282,0.031935,0.033174,0.032549,0,0
314,shell,Z,nul,magn,min,magn,0.974063,0.937117,0.955412,0.007331,0.937117,0.082885,0,0
314,shell,A,min,son,min,son,0.935362,0.786233,0.857562,0.935362,0.786233,0.857562,1,0
314,shell,W,min,pond,nul,pond,0.891001,0.973261,0.931223,0.043808,0.973261,0.206487,0,0
314,shell,R,mag,tact,max,pond,0.982231,0.540057,0.728328,0.004919,0.443956,0.046732,0,0
314,shell,O,max,pel,max,tact,0.905468,0.563984,0.714612,0.905468,0.261481,0.486583,0,0
314,shell,S,nul,vel,nul,vel,0.98442,0.546458,0.733447,0.98442,0.546458,0.733447,1,0
314,shell,F,nul,od,nul,od,0.995374,0.582404,0.761387,0.995374,0.582404,0.761387,1,0
314,shell,L,nul,vit,nul,vit,0.983066,0.972684,0.977861,0.983066,0.972684,0.977861,1,0
314,shell,An,nul,anim,nul,anim,0.920227,0.682537,0.792521,0.920227,0.682537,0.792521,1,0
314,claw,T,min,therm,min,therm,0.991037,0.992497,0.991767,0.991037,0.992497,0.991767,1,0
314,claw,H,max,dur,max,dur,0.58527,0.863583,0.710936,0.58527,0.863583,0.710936,1,0
314,claw,M,nul,hydr,min,dur,0.586971,0.71885,0.649572,0.286214,0.275523,0.280817,0,0
314,claw,V,min,luc,nul,hydr,0.970038,0.74119,0.847928,0.018213,0.055903,0.031909,0,0
314,claw,Z,nul,magn,nul,magn,0.977659,0.948187,0.96281,0.977659,0.948187,0.96281,1,0
314,claw,A,nul,son,nul,son,0.995733,0.886533,0.939548,0.995733,0.886533,0.939548,1,0
314,claw,W,nul,pond,nul,pond,0.966342,0.979403,0.97285,0.966342,0.979403,0.97285,1,0
314,claw,R,max,tact,max,pond,0.985635,0.682857,0.820395,0.985635,0.306061,0.54924,0,0
314,claw,O,max,pel,max,tact,0.923768,0.770949,0.843906,0.923768,0.135736,0.354102,0,0
314,claw,S,nul,vel,nul,vel,0.994859,0.426733,0.651567,0.994859,0.426733,0.651567,1,0
314,claw,F,nul,od,nul,nul,0.997455,0.449855,0.669858,0.997455,0.180899,0.42478,0,0
314,claw,L,nul,vit,nul,vit,0.987663,0.898311,0.941928,0.987663,0.898311,0.941928,1,0
314,claw,An,nul,anim,nul,anim,0.903295,0.896142,0.899712,0.903295,0.896142,0.899712,1,0
314,cave,T,min,therm,min,therm,0.994411,0.996018,0.995214,0.994411,0.996018,0.995214,1,0
314,cave,H,max,dur,med,dur,0.491823,0.624465,0.55419,0.440768,0.624465,0.524637,0,0
314,cave,M,med,hydr,nul,dur,0.973834,0.770277,0.866096,0.008487,0.209967,0.042214,0,0
314,cave,V,nul,luc,mag,hydr,0.931626,0.658762,0.783403,0.018686,0.251692,0.06858,0,0
314,cave,Z,mag,magn,min,magn,0.899754,0.981652,0.939811,0.060503,0.981652,0.243707,0,0
314,cave,A,min,son,max,magn,0.944398,0.795916,0.866984,0.045114,0.169814,0.087527,0,0
314,cave,W,max,pond,nul,pond,0.864341,0.97065,0.915954,0.036078,0.97065,0.187133,0,0
314,cave,R,mag,tact,max,pond,0.985856,0.957203,0.971424,0.004222,0.010467,0.006648,0,0
314,cave,O,max,pel,max,tact,0.846181,0.694464,0.766579,0.846181,0.106642,0.300397,0,0
314,cave,S,nul,vel,min,pel,0.585678,0.675136,0.628818,0.387655,0.195854,0.275543,0,0
314,cave,F,min,od,nul,vel,0.980444,0.406898,0.631618,0.009599,0.233257,0.047318,0,0
314,cave,L,nul,vit,nul,vit,0.949761,0.954557,0.952156,0.949761,0.954557,0.952156,1,0
314,cave,An,nul,anim,nul,anim,0.980857,0.609743,0.77335,0.980857,0.609743,0.77335,1,0
314,honey,T,med,therm,med,therm,0.827388,0.998468,0.908912,0.827388,0.998468,0.908912,1,0
314,honey,H,nul,dur,mag,therm,0.869772,0.525707,0.676199,0.105998,0.125324,0.115257,0,0
314,honey,M,mag,hydr,mag,dur,0.997621,0.856283,0.924254,0.997621,0.126645,0.355449,0,0
314,honey,V,mag,luc,mag,hydr,0.623287,0.962814,0.774667,0.623287,0.021971,0.117022,0,0
314,honey,Z,nul,magn,nul,luc,0.538288,0.708019,0.617348,0.538288,0.248286,0.365581,0,0
314,honey,A,nul,son,nul,magn,0.533546,0.431287,0.4797,0.533546,0.409544,0.467451,0,0
314,honey,W,min,pond,min,pond,0.941618,0.509458,0.692614,0.941618,0.509458,0.692614,1,0
314,honey,R,min,tact,min,pond,0.939452,0.969161,0.954191,0.939452,0.018866,0.133132,0,0
314,honey,O,min,pel,mag,tact,0.559874,0.975442,0.739002,0.321004,0.018255,0.07655,0,0
314,honey,S,min,vel,mag,pel,0.998222,0.928286,0.962619,0.000391,0.042712,0.004085,0,0
314,honey,F,mag,od,nul,vel,0.991809,0.928503,0.959634,0.005651,0.04875,0.016597,0,0
314,honey,L,nul,vit,nul,od,0.96272,0.893051,0.927232,0.96272,0.087692,0.290556,0,0
314,honey,An,nul,anim,nul,vit,0.972418,0.559924,0.737889,0.972418,0.402622,0.625713,0,0
577,bird,T,med,therm,med,therm,0.937622,0.988618,0.962782,0.937622,0.988618,0.962782,1,0
577,bird,H,min,dur,min,therm,0.937511,0.897207,0.917138,0.937511,0.096258,0.300404,0,0
577,bird,M,nul,hydr,max,dur,0.436724,0.997942,0.66017,0.332782,0.001909,0.025203,0,0
577,bird,V,mag,luc,min,hydr,0.8267,0.777539,0.801743,0.010001,0.207604,0.045566,0,0
577,bird,Z,min,magn,max,max,0.986108,0.774385,0.873857,0.012987,0.049245,0.025289,0,0
